product_id,product_name,quantity,cumulative_perc,ABC
21432,Colby Jack Cheese Block,479,4.152936976103532e-05,A
27632,Ocean Breeze Body Wash,461,8.149813690057036e-05,A
6455,Organic Magic Muesli,455,0.00012094670316627198,A
22613,Organic African Nectar Herbal Tea,444,0.00015944156782994563,A
30079,Shea Butter & Vitamin E Body Lotion,443,0.0001978497323479804,A
26626,PLOCHMANS Squeeze Mustard,440,0.00023599779642909845,A
28185,"Vanilla, Tangerine & Shortbread Ice Cream",437,0.0002738857600732998,A
38189,Clif Kid ZBar Organic Iced Lemon Cookie Energy Bars,435,0.0003116003234262233,A
31145,Fine De Luxe Blended Canadian Whiskey,433,0.000349141486487869,A
27732,Healthy Skin & Hair Plus Nails Softgels,432,0.0003865959494038758,A
43454,Dry Erase Markers,432,0.0004240504123198826,A
25737,Refried Beans With Spicy Chipotle,431,0.0004614181750902505,A
28405,Chicken Boullion,431,0.0004987859378606184,A
6886,Vitamin Code Raw D3 5000 IU,430,0.0005360670004853474,A
13017,Sparkling Blood Orange Soda,429,0.0005732613629644375,A
14785,Stage 1: Newborn HEC Liquid Detergent,427,0.0006102823251522498,A
27037,Kellogg's Pop-Tarts Frosted S'mores Pastries,427,0.0006473032873400621,A
38476,Black Bean Chipotle Veggie Burger Patties,425,0.0006841508492365965,A
43743,Refreshing Gel Hand Sanitizer Pump,425,0.000720998411133131,A
12916,Ginger Ale,423,0.0007576725727383877,A
45154,Pure & Smooth Green Tea,423,0.0007943467343436443,A
14740,Builder's® Chocolate Mint Protein Bars,421,0.0008308474956576232,A
31754,Bold Sloppy Joe Sauce,421,0.0008673482569716021,A
27291,Everyday Shea Moisturizing Conditioner,421,0.0009038490182855809,A
22999,30% Less Sodium Taco Seasoning Mix,420,0.0009402630794539209,A
30217,Disposable Nursing Pads,420,0.0009766771406222608,A
2306,VentAire Wide Bottle,419,0.0010130045016449618,A
22267,Yummy Berry Kids Tea,418,0.001049245162522024,A
34666,Gluten Free & Non-Dairy Pancake And Waffle Mix,418,0.001085485823399086,A
47765,Alimentum Infant Formula,416,0.0011215530839848705,A
19934,Fat Free Smooth & Creamy Plain Organic Yogurt,416,0.0011576203445706548,A
8041,Organic Renew Vegetable and Fruit Juice,415,0.0011936009050108002,A
9255,Sweet Plantain and Cheese Empanadas,415,0.0012295814654509456,A
12138,Organix Butcher & Bushel Grain-Free Turkey Dinner Canned Dog Food,415,0.0012655620258910912,A
9757,Scent Expressions Va Va Vanilla Invisible Solid,415,0.0013015425863312365,A
37287,Bath & Kitchen Multi-Surface Cleaner,414,0.0013374364466257431,A
36827,Mediterranean Quinoa & Brown Rice,414,0.0013733303069202495,A
8160,Classic Roasted Chicken Demi Glace,414,0.001409224167214756,A
15042,Traditional Italian-Style Wedding Soup,414,0.0014451180275092627,A
7424,You're My Boy Blueberry Bourbon Jam,413,0.0014809251876581303,A
4519,Chillin' Chicken Recipe,413,0.0015167323478069978,A
15649,Baby Seedless Cucumbers,411,0.0015523661076645877,A
38960,Gluten-Free Boom Chicka Pop Salted Caramel popcorn,411,0.0015879998675221775,A
3437,Melatonin Chewable Lozenges 3 Mg,411,0.0016236336273797673,A
46775,Friskies Pull 'n Play Tender Strings - Salmon & Shrimp Flavors Cat Treats,411,0.001659267387237357,A
29052,Indian Hemp & Haitian Vetiver with Neem Oil Body Lotion,410,0.001694814446949308,A
3608,Brie & Raspberry Bake & Serve Fillo Rolls,410,0.0017303615066612589,A
48477,Monoarabica Ethiopian Whole Bean Coffee,410,0.00176590856637321,A
29641,Pappy Fred's Old Style Pizza Sauce All Natural,410,0.0018014556260851607,A
19023,30 Minute Marinade Hawaiian with Tropical Fruit Juices,409,0.0018369159856514727,A
25890,Boneless Skinless Chicken Breasts,409,0.0018723763452177847,A
47000,Ultra Soft Toilet Paper,409,0.0019078367047840967,A
7716,Dish Brush,408,0.0019432103642047698,A
28965,Multi-Symptom Relief,408,0.001978584023625443,A
34162,Organic Country Style Potatoes,408,0.002013957683046116,A
27915,High Efficiency Washing Machine Cleaner,408,0.002049331342466789,A
37186,"Soup, Japanese Style Noodles & Beef Flavored",408,0.002084705001887462,A
11063,Clover Org Greek Plain,407,0.0021199919611624963,A
